Security Name	ATR	ATR2	Close	Stop	Ticker Symbol	Location	
TECHCOMP (HOLDINGS) LIMITED	0.0039	0.0078	0.2600	0.2522	T43	C:\ms\sgx2	
TAT SENG PACKAGING GROUP LTD	0.0049	0.0098	0.2450	0.2352	T12	C:\ms\sgx2	
TAT HONG HOLDINGS LTD	0.0350	0.0701	1.4900	1.4199	T03	C:\ms\sgx2	
TAN CHONG INT'L LTD	0.0260	0.0520	2.4000	2.3480	T15	C:\ms\sgx2	
TAI SIN ELECTRIC CABLES MFGLTD	0.0040	0.0080	0.2950	0.2870	500	C:\ms\sgx2	
TA CORPORATION LTD	0.0084	0.0167	0.3850	0.3683	PA3	C:\ms\sgx2	
SYSMA HOLDINGS LIMITED	0.0027	0.0054	0.2100	0.2046	5UO	C:\ms\sgx2	
SYNEAR FOOD HOLDINGS LIMITED	0.0032	0.0063	0.1800	0.1737	Z75	C:\ms\sgx2	
SWISSCO HOLDINGS LTD	0.0080	0.0159	0.2700	0.2541	5FD	C:\ms\sgx2	
SWING MEDIA	0.0049	0.0097	0.1250	0.1153	O2F	C:\ms\sgx2	
SWIBER HOLDINGS LIMITED	0.0290	0.0580	0.7600	0.7020	AK3	C:\ms\sgx2	
SWEE HONG LIMITED	0.0039	0.0078	0.2750	0.2672	QF6	C:\ms\sgx2	
SURFACE MOUNT TECH (HLDGS) LTD	0.0030	0.0061	0.1710	0.1649	Q7Q	C:\ms\sgx2	
SUPERIOR MULTI-PACKAGING LTD	0.0001	0.0002	0.1410	0.1408	S47	C:\ms\sgx2	
SUPERBOWL HOLDINGS LIMITED	0.0164	0.0328	0.5050	0.4722	S48	C:\ms\sgx2	
SUPER GROUP LTD	0.1244	0.2488	4.7200	4.4712	S10	C:\ms\sgx2	
SUNVIC CHEMICAL HOLDINGS LTD	0.0186	0.0372	0.4600	0.4228	A7S	C:\ms\sgx2	
SUNTEC REAL ESTATE INV TRUST	0.0438	0.0877	1.7250	1.6373	T82U	C:\ms\sgx2	
SUNRIGHT LTD	0.0081	0.0163	0.1000	0.0837	S71	C:\ms\sgx2	
SUNRAY HOLDINGS LIMITED	0.0000	0.0000	0.0080	0.0080	S38	C:\ms\sgx2	
SUNPOWER GROUP LTD.	0.0047	0.0095	0.1800	0.1705	5GD	C:\ms\sgx2	
SUNNINGDALE TECH LTD	0.0023	0.0046	0.1260	0.1214	T35	C:\ms\sgx2	
SUNMOON FOOD COMPANY	0.0002	0.0004	0.0020	0.0016	F06	C:\ms\sgx2	
SUNMART HOLDINGS LIMITED	0.0000	0.0000	0.1150	0.1150	C2J	C:\ms\sgx2	
SUNLIGHT GROUP HLDG LTD	0.0051	0.0103	0.0810	0.0707	5AI	C:\ms\sgx2	
STX PAN OCEAN CO.  LTD.	0.1796	0.3593	3.5300	3.1707	GZ9	C:\ms\sgx2	
STREETTRACKS GOLD SHARES	2.0427	4.0853	136.6300	132.5447	O87	C:\ms\sgx2	
STRATECH SYSTEMS LIMITED	0.0008	0.0016	0.0210	0.0194	S73	C:\ms\sgx2	
STRAITS TRADING CO. LTD	0.0576	0.1152	4.1100	3.9948	S20	C:\ms\sgx2	
Straits Times Index	31.5941	63.1882	3311.3701	3248.1819	0019	C:\ms\sgx2	
STRACO CORPORATION LIMITED	0.0080	0.0161	0.3200	0.3039	S85	C:\ms\sgx2	
STI ETF	0.0330	0.0660	3.3500	3.2840	ES3	C:\ms\sgx2	
STATS CHIPPAC LTD	0.0152	0.0304	0.4050	0.3746	S24	C:\ms\sgx2	
STARLAND HOLDINGS LIMITED	0.0011	0.0023	0.0700	0.0677	5UA	C:\ms\sgx2	
STARHUB LTD	0.1183	0.2365	4.0100	3.7735	CC3	C:\ms\sgx2	
STARHILL GLOBAL REIT	0.0243	0.0487	0.8700	0.8213	P40U	C:\ms\sgx2	
STAR PHARMACEUTICAL LIMITED	0.0023	0.0045	0.0450	0.0405	X64	C:\ms\sgx2	
STAMFORD TYRES CORPORATIONLTD	0.0135	0.0270	0.4500	0.4230	S29	C:\ms\sgx2	
STAMFORD LAND CORPORATION LTD	0.0163	0.0326	0.6200	0.5874	H07	C:\ms\sgx2	
ST. JAMES HOLDINGS LIMITED	0.0004	0.0007	0.0490	0.0483	5NH	C:\ms\sgx2	
SRI TRANG AGRO-INDUSTRY PCL	0.0140	0.0279	0.6300	0.6021	NC2	C:\ms\sgx2	
SPORE SHIPPING CORPORATION LTD	0.0040	0.0079	0.2350	0.2271	S19	C:\ms\sgx2	
SPINDEX INDUSTRIES LIMITED	0.0020	0.0040	0.3400	0.3360	564	C:\ms\sgx2	
SPDRS SPY 10	0.5692	1.1385	166.3300	165.1915	S27	C:\ms\sgx2	
SPDR DJIA ETF TRUST	0.1442	0.2883	147.0400	146.7517	D07	C:\ms\sgx2	
SP CORP LTD	0.0027	0.0054	0.1060	0.1006	S13	C:\ms\sgx2	
SP AusNet	0.0269	0.0537	1.4600	1.4063	X04	C:\ms\sgx2	
SOUTHERN PACKAGING GROUP LTD	0.0013	0.0027	0.1300	0.1273	T77	C:\ms\sgx2	
SOUP REST	0.0016	0.0032	0.1280	0.1248	5KI	C:\ms\sgx2	
SOUND GLOBAL LTD	0.0189	0.0378	0.6300	0.5922	E6E	C:\ms\sgx2	
SOON LIAN HOLDINGS LIMITED	0.0063	0.0127	0.1000	0.0873	5MD	C:\ms\sgx2	
SMRT CORPORATION LTD	0.0160	0.0320	1.4300	1.3980	S53	C:\ms\sgx2	
